logFC	AveExpr	t	P.Value	adj.P.Val	B
3305	-0.52835133806081	5.84369190135179	-12.9638538769471	0.0000443026992233811	0.00639066436297272	2.92021199532288
65	0.369182116274481	7.32564887352994	12.7123241150777	0.0000488039432123339	0.0068463639991653	2.7792981095371
572	0.659176883405878	6.20896454609251	12.6193091314337	0.0000506052430692881	0.0068463639991653	2.75436527747878
1471	-0.87295436403489	8.21420865393936	-12.5813191606723	0.0000513636713986296	0.0068463639991653	2.7226223281339
3550	-1.95379625469431	5.75117824442121	-12.4119394042124	0.0000549145193479596	0.0068463639991653	2.79358071503871
628	1.38991447213995	5.80602509444393	12.3990075775688	0.0000551974519156737	0.0068463639991653	2.74360536849933
2115	-0.59378116772321	5.26711092571955	-12.3435363843777	0.0000564309772207493	0.0068463639991653	2.75537275171372
1500	1.04438380136463	6.62690274736147	12.2783054224023	0.0000579238191541167	0.0068463639991653	2.59821109075568
116	1.25101335549307	5.29451386909511	12.2402712749342	0.0000588159685609474	0.0068463639991653	2.7274458774048
3798	-0.854341790524588	7.25801238474625	-12.1668492842951	0.0000605849529878498	0.0068463639991653	2.54150302525926
1825	0.741568633901519	5.75831686951726	12.1137302343301	0.0000619043721118623	0.0068463639991653	2.57465978810067
2758	-1.17352872448901	5.99867310325173	-12.0997681202347	0.0000622568398346164	0.0068463639991653	2.56853193132065
49	0.57241666389139	9.85884456933979	12.0131726435283	0.0000644971075669736	0.0068463639991653	2.51400534258219
923	-0.754843355864752	6.34459330524126	-11.9785907459835	0.0000654185138353204	0.0068463639991653	2.46876177102111
475	-0.592990139445291	6.21966891998421	-11.926783984494	0.0000668283838643914	0.0068463639991653	2.44801854566942
3672	0.955527824442642	4.31768510485915	11.8970452069047	0.0000676540472957928	0.0068463639991653	2.50322273331107
4564	-0.83534392803	4.29819982201771	-11.894211021048	0.0000677333677658786	0.0068463639991653	2.49817984855984
224	-0.71558250524695	8.41462926878961	-11.8623701681817	0.00006863215685273	0.0068463639991653	2.40372137265805
3	0.729284118324172	9.1883636796361	11.8557921986985	0.0000688196034578141	0.0068463639991653	2.41941976140251
186	0.726896277521277	6.3881539257704	11.7655719628675	0.0000714531041854108	0.00689924031714531	2.36935170223345
1025	-1.087201989571	9.62911629647088	-11.752533677893	0.0000718435393404642	0.00689924031714531	2.38757063038546
5049	0.431904949707121	8.64753845885604	11.6619420517465	0.0000746276373094304	0.00689924031714531	2.31243051180097
1195	-0.972670630466288	6.26447212736741	-11.6384482079279	0.0000753705237830356	0.00689924031714531	2.3188498878146
82	0.57737595227524	9.44108477829816	11.5800812026354	0.0000772545714949916	0.00689924031714531	2.30057145276194
71	-0.466738356137364	11.3641304271213	-11.574166614817	0.000077448603079468	0.00689924031714531	2.3609871385199
570	0.524617883231315	5.5705142831667	11.5658905919528	0.000077721078096091	0.00689924031714531	2.34445296290364
4601	-1.20407111720971	4.48150970710269	-11.5182923458793	0.000079310526624811	0.00693366270644181	2.39362377411973
3213	-0.612077374314923	6.11919651903349	-11.3767309390161	0.0000842716790062522	0.00717228350061333	2.19583028572632
853	0.669818796774234	5.89666171259091	11.3697419161308	0.0000845260447212663	0.00717228350061333	2.2098984615071
3322	-1.166583689642	4.46616337982929	-11.3032234511221	0.0000869933166631303	0.00727465850936611	2.30756091858612
342	-0.45599870225915	9.28725746701079	-11.2377281603254	0.0000895068687679008	0.00737792332558268	2.1313694712927
1164	-0.829539448778904	6.35561365711901	-11.2017784519785	0.0000909232708217184	0.00738911651607486	2.10365597712847
774	0.633907102514399	7.225402522255	11.087852620393	0.000095591530623668	0.00742156459950989	2.03402852662581
654	0.686044105160223	7.63653535721976	11.0646802410862	0.0000965756592401799	0.00742156459950989	2.02023307831573
354	-0.943786670448235	9.64146021726296	-11.059192832616	0.0000968104722037376	0.00742156459950989	2.0581510384337
940	-1.09566354086028	7.44920505872676	-10.9912921000568	0.000099773009821098	0.00742156459950989	1.98563192912136
175	0.725196411634697	6.53163715717974	10.9607351513655	0.000101141363695904	0.00742156459950989	1.9795377445694
974	0.66518985530676	11.1354994087175	10.9559634224948	0.000101357054803468	0.00742156459950989	2.06010139926708
103	0.607465215560394	7.0915233710818	10.9557074560557	0.000101368640430942	0.00742156459950989	1.97008001154881
447	-0.713507593961019	11.2367238902263	-10.9220209326963	0.000102907218574998	0.00742156459950989	2.04711955120465
471	0.97105979256301	5.30989177712061	10.9106611554756	0.000103432314149148	0.00742156459950989	2.13346694138868
1987	0.700943687033768	4.1914924318737	10.8941460458829	0.000104201410044681	0.00742156459950989	2.10243935992912
793	-2.59213798428407	5.84357279942036	-10.8671962541978	0.000105471108693208	0.00742156459950989	2.14138782177397
691	-0.694389854797029	10.6367771897394	-10.7507976369926	0.000111171047857555	0.00766940264471914	1.94115661575518
601	-0.525038151476345	11.4775383089962	-10.7413098520626	0.000111651615625027	0.00766940264471914	1.96594546261267
604	-1.15440015785691	8.28598896641761	-10.6746396767927	0.000115099157287851	0.00773791417954536	1.82807289923668
290	0.651446524488979	5.49911036297299	10.584451318982	0.0001199666028959	0.00773791417954536	1.89834302515173
4603	-0.963714275401117	4.36313066068963	-10.5798300256292	0.000120222541557472	0.00773791417954536	1.99802185151612
170	-0.836533251697002	8.33672781397206	-10.5709955551747	0.00012071362671277	0.00773791417954536	1.77257651987473
524	0.769818867275529	7.8733279291938	10.5560041563804	0.000121552431819871	0.00773791417954536	1.7615544135108
969	0.755224844202962	9.011188437432	10.553693233725	0.000121682349543743	0.00773791417954536	1.77900738936212
