	pausedE141	pausedE142	pausedE143	pausedTS1	pausedTS2	pausedTS3	wtE141	wtE142	wtE143	wtTS1	wtTS2	wtTS3	dICM1	dICM2	dICM3	dTE1	dTE2	dTE3	mICM1	mICM2	mICM3	mTE1	mTE2	mTE3	wtICM1	wtICM2	wtTE1	wtTE2
mmu-miR-24-1-5p	-0.0261010753537909	-0.38620481142538504	0.0548913217512591	0.0486664260166405	-0.116070336372589	0.374356053638649	0.267538818720899	-0.5224370533001099	0.443670211295845	0.0856747157138876	-0.8225287416596692	0.27317833067838504	-1.68371504864165	-1.8533165120066202	-1.85476883201375	-1.85546696276904	-1.85820489063333	-1.8564951259730402	-1.77304383602548	-1.61533307555115	-1.74834977483519	-1.6497370606667199	-1.7806966071981	-1.7786663479326799	-1.7321343804185	-1.80251223337486	-1.8165383271106201	-1.84040829385988
mmu-miR-24-2-5p	1.69124563091833	0.0397455885385845	-0.25743718423628603	4.609382131677919	3.6818637169693	4.4515773983855	1.79653150836708	0.3760269239255471	1.40640105063829	5.1381478397762805	4.72643741847897	4.51902670725408	-0.549370641585691	-0.646484434709427	-0.374817588954629	0.0296624114583102	0.0683336520776058	-0.653555054989552	-0.26859725369153103	-0.534257754146174	-0.518599445124845	-0.608686918578537	-0.588578190224219	-0.584185951935583	-0.48351925736982704	-0.6236909824432679	-0.21668968968492103	-0.64165463717097
mmu-miR-25-5p	0.36894016067173296	0.486121501049525	0.430001334650467	-1.23675652908725	-1.3853920048441801	-1.68630506532567	1.11386418872974	0.36681666876942404	-0.896561211109898	-1.07227806130182	-1.10549688857662	-1.04111338321633	-0.7829502118776329	-0.5657643282913871	-0.7697279637581641	-0.44723326465599106	-0.37904292123560707	-0.778650086471639	-0.660389740019951	0.378614468693567	-0.5974277999517951	-0.7036011684995961	-0.679901853325792	-0.317121164791347	-0.19847956399084402	-0.40589274834315003	-0.742717969632244	-0.759295720133808
mmu-miR-25-3p	9.841580707067699	9.4840539146383	9.56337960732304	6.92506543369688	6.746914665895099	7.359102614171669	8.49019180133761	8.30883022977292	8.48247952377215	6.78757344008258	6.22190231647169	5.33322503227214	3.6030157851892697	3.45460501302352	3.28956189087305	3.03410828435936	3.4538947943925797	3.5349187601452594	3.77226803472696	3.7611182981843196	4.31536585251641	3.3182740964121904	3.4364261172258503	2.9946331382274995	3.54321675653383	3.383347510065	2.38526420654544	2.58424358628517
mmu-miR-26b-5p	3.8223689122952793	4.11368752333958	4.165661073932069	1.9174487982835	3.07246984477354	4.21325705411754	1.21460944518526	0.492324786534005	2.1377393645133003	2.8851434967147798	2.5140430055206697	3.8021182283747597	6.40832573404266	6.189775040112389	6.28706961104656	5.88227768237633	6.207325043007259	5.720774823786429	6.71943329964403	6.2660986713528395	7.86579562178785	6.934272935185571	6.22287763805307	6.3132143121875	6.08117767605017	5.4910013696398305	5.369414606797121	5.1394548831839595
mmu-miR-27a-5p	0.01637069172421	-1.27716871188074	-0.995696756051402	0.10451527496686099	0.8647720615624921	1.1349640421415401	0.346945707291274	-0.5253604500052871	-0.633684060562219	1.00287187369082	1.59724139966685	-0.7900452187432758	-1.68537332029926	-1.73591926854027	-1.7360977321260602	-1.73633047278915	-1.57609843626567	-1.73666951597139	-1.6894956611798702	-1.67884517317509	-1.6744291600445602	-1.6998359562143401	-1.6941648196739798	-1.6929261046934199	-1.6645357181960903	-1.70747511132779	-1.6304597764506	-1.73059650209142
mmu-miR-27a-3p	5.58619595951976	5.6164243885825	5.089670272797981	6.5889192924869	6.5272485453822995	7.6818361795584	3.57453354180888	5.30916702349572	5.1579987574188095	6.56830567119154	6.59716185189541	6.803623423421191	-0.18380938034665198	0.138522011964932	-0.345428617422811	0.237748919318037	0.427025015894825	0.603678567932215	-0.19489908826834698	-0.12956198932818	2.06875340071136	0.20732580210708498	-0.210126860853311	0.26336434753855803	-0.0406060960813358	-0.251975996310198	-0.277701543482241	-0.318341669944133
mmu-miR-27b-5p	0.732323351875184	0.6416406251135699	1.2687709376382699	0.024705697606584	-0.14811010270180403	-0.6317744752821371	-0.823962712027677	-0.5723989735344721	-0.6733583683828679	-0.15890211189968698	-0.8839981878594599	0.25869907244580204	-1.2756359431944	-1.34724658089396	-1.35267490202407	-1.3598102419482903	-1.4363868004588798	-1.3102817104681201	-1.3833767654684401	-1.3691537418306898	-1.3632564478182398	-1.39718554687175	-1.38961211840254	-1.38795789631984	-1.3500444093457902	-1.40738713422647	-1.418815366269	-1.43357520232571
mmu-miR-27b-3p	5.839660370992041	5.26349144156933	5.57147295706601	3.3908751442449505	3.7326949943153798	4.05382941566718	4.07655155079742	4.85592932587946	5.46673910099172	3.1250043250032697	3.1611252971608503	3.9611027674017203	1.8975214010617398	2.0245042847669397	1.29225374799943	1.2415674930337501	2.19618565492805	1.52417297604307	1.42171507612319	2.18447765021616	3.79728168801221	0.900088701814705	1.94817118807392	1.3847295491004898	1.13617093998414	1.23140271658183	1.41253529286066	1.7341233878337903
mmu-miR-28a-5p	2.86066232777077	2.93431224392991	3.6034249816455497	3.7045024095771004	4.05156181408489	4.63794228433195	3.5897532809885098	3.51999783146865	4.06166094670012	3.4804863073952	2.8756938422561604	3.42953111124233	3.1802380663624503	2.67223206853502	2.73357971010342	2.41394938391575	2.54454226127527	2.88223455611352	1.4698928704940701	2.80594671953232	3.0692371450415	1.75816410609936	2.99131862323968	1.83536929162668	1.6644916085529098	2.33249694689836	2.1993687889568503	2.34081058542365
mmu-miR-28a-3p	2.70155988460419	2.65626486363494	2.53452294337753	3.7182438649948	3.49977160376242	4.06096587062859	1.8702199327746898	3.4169352801094197	2.1516054659829598	2.8870711254471404	3.2048219570020895	1.87931896874284	3.01580133838491	2.76038278328008	2.6540402708740203	2.4142495414232203	2.88500559657991	2.63203203764069	1.33560630103558	1.4091793720615802	1.43988380446591	2.31947390622308	2.2153539108536697	1.70297716540728	2.38262357680959	1.55331523640171	2.21727358727872	1.9962614367124
mmu-miR-290a-5p	11.966586303510999	11.857687130424399	11.855291818344801	11.768996651654199	11.783765244684501	11.515677828907199	11.8029883390565	11.8121712403872	11.489552330254499	11.8977523986357	11.5058786216431	11.483017350102001	6.5509205972703395	6.07357823411991	5.87531452839803	5.893078485864919	5.95524097176152	5.899893751408991	4.84695429814436	6.33291276729385	5.75388807770262	4.90775800907241	5.44604382641746	4.4850231782440995	6.607972736349651	6.807145098061019	6.622802768584401	6.23262624095412
mmu-miR-291a-5p	12.1758174016649	11.6942371744775	11.951551612510901	10.6972616687016	10.586759055337401	11.2369850461858	11.527312912607998	11.1669893745829	10.4847156215294	10.8066159742276	10.3200175043667	10.111724893349	6.03970799182918	6.00813676112658	5.974821500188449	6.33053586782228	6.08792990173226	6.248143780601421	5.49600509880575	5.45468201736926	4.66908023483776	6.20532243331855	6.0841830435882995	5.17828130403037	6.21821224224043	6.631872927678651	6.799003525345991	6.35144300821005
mmu-miR-291a-3p	11.063755173393302	11.353011584869199	11.375947177256998	10.998092785526199	11.1033932918624	10.8133841362257	11.1400147838814	11.325688531476901	11.724914924386198	11.7512804828785	10.812940120009001	11.3629748330846	4.16594808045754	3.3169926866290296	4.3594064758448	4.35572831135567	4.42255402827176	4.32018616059337	3.09422826055182	4.03623309929204	4.13826521748272	3.6808801195791103	4.129289201976561	4.48740398274102	4.74640665626136	4.540107078934519	4.27404766064996	3.9128197572823398
mmu-miR-291b-5p	4.68169546521606	5.39073288370355	5.87429641884367	8.215934629931692	7.76292817250741	8.57368744875943	5.28928546368519	5.4153364505290496	5.578519578155481	8.425925715750491	7.97189093765988	7.176463678116259	3.6040231742823	3.68534065232262	3.65490046943577	2.66069511962556	3.5265439279585697	3.3325485497905296	1.8435212091953603	3.7315511732971602	2.81403352484033	2.6321058863665603	2.7327052333378603	3.29506752821437	4.30182959139838	3.54256432383574	3.7163106930326197	3.5554217711955203
