	dICM1	dICM2	dICM3	dTE1	dTE2	dTE3	mICM1	mICM2	mICM3	mTE1	mTE2	mTE3	wtICM1	wtICM2	wtTE1	wtTE2
mmu-miR-500-5p	-1.96227301532941	-2.04151878244084	-2.04284945372028	-2.04458039698487	-2.04479512449402	-2.0446622933898	-2.0194452667885603	-2.0146451325063204	-2.0126548522478798	-2.0241055982833402	-2.0215496386959098	-2.02099135458335	-2.00819591577803	-2.0275485363281502	-2.03140545520911	-2.0379692588723
mmu-miR-500-3p	0.102366695903265	0.25814239668206895	-0.260617512686426	0.283853679348521	0.384163202841474	-0.14400821433724803	-0.19904785638507103	-0.152924912169151	-0.133800950226269	-0.21664406080538	-0.20875158555792397	-0.20697225071198602	-0.0909564658913206	0.0422066762716146	0.4767443486272	0.21567047689627
mmu-miR-501-3p	3.02640743720843	2.2165571404100897	2.8331760755809303	2.75331776614119	2.6542120583189304	2.66736460404424	1.37981662890903	1.89739905538486	2.28702943010791	1.94848277470415	1.7310626529656699	1.35590917215503	1.5564923874908998	2.5249826763879	2.6913432140247897	2.5128992359174
mmu-miR-503-5p	4.4491703424141695	3.19375397630745	2.94307139077124	5.7999440711282695	4.92176928315754	5.75788952642897	4.586905519489191	2.25143872953144	3.1207617249690096	4.3870223626906	3.96458910397021	3.4073800679157698	3.33314275223601	4.10140490701554	7.00136197200738	6.92519399109132
mmu-miR-503-3p	1.9252244664254299	1.89420696248788	2.10598180108954	3.4857726321526004	3.00459675411243	2.77129454036556	1.4941388665579	1.59519234755948	3.3680960297926803	3.42099378709551	2.43213097504414	3.4764157516118197	1.72874253212351	1.69500847136357	3.6555374549364603	3.6627468177302904
mmu-miR-505-5p	-0.952635845749535	-0.944316414656689	-0.9457428451064351	-0.581495130631841	-0.8608570299193341	-0.538829412057502	-0.857510040751476	-0.823993254386387	-0.8100961851990209	-0.8900506585585409	-0.872203751282075	-0.8683055500585949	-0.5096658933070689	-0.914090864963407	-0.350236862262372	-0.7555322903476409
mmu-miR-5099	5.81835676612556	5.07206502135478	5.115597238167441	3.60214063735021	3.9450833539101	4.21149609794693	3.7534557791548697	3.4816735776042598	2.2728050228899703	3.51121148762976	2.93168513736743	3.6728841791317497	5.12180076533784	4.02933526118169	3.88895419813955	3.98136839632695
mmu-miR-5100	-2.2976955930236	-2.29060407354796	-2.29205543279275	-2.2940918147223903	-2.2977933883504797	-2.29741479914147	-2.2665285550469	-2.26129306272478	-2.25912226990957	-2.27161156488054	-2.2688237872875	-2.26821486845043	-2.25425892103637	-2.23330137811953	-2.2795734973266404	-2.2867326186473997
mmu-miR-5106	-0.34074644915150104	-0.3757402815940589	-0.259779737327297	-0.0856793354646497	-0.3712043637206	-0.539700384775127	-0.143270033051917	-0.10074712748618599	-0.405780873344279	-0.49938283311315096	-0.479958593099854	-0.163502664278529	-0.368595749024467	-0.507218558997896	-0.100578004690095	-0.34677400260881
mmu-miR-5108	-0.49730288493177793	-0.47646005827876503	-0.479965160281543	-0.149636214660048	-0.37684460710649603	-0.328733817039726	0.0195875194864355	0.08762081956466	-0.303989724253371	-0.41712701975700395	-0.399221080020073	0.710729106390319	0.156668868807533	0.35029456032945805	-0.15225460987161402	-0.46637943318170005
