	pausedE141	pausedE142	pausedE143	pausedTS1	pausedTS2	pausedTS3	wtE141	wtE142	wtE143	wtTS1	wtTS2	wtTS3
mmu-miR-665-5p	-0.7714069722709809	-1.8817977707771498	-0.7343844236493109	-1.5874116913304601	-1.69535642437134	-1.93693868919883	-0.5753243799392729	-0.39410729046276505	-1.34034891850443	-1.44393410715114	-1.49208595040752	-1.4453282012028998
mmu-miR-665-3p	4.12632091538977	4.23063632240713	3.7918479907652998	-0.418201004696404	0.422833283306238	-1.32107329935922	4.19531696278806	5.00483962471356	4.614867866857789	0.7371355918668451	-0.229239212132276	1.7276090408469498
mmu-miR-666-3p	-0.6635771705400451	-2.07467598326228	-1.69553141514366	-1.70062799757013	-1.83778295420364	-2.2356504251018903	-1.5245565967247299	1.4365301735132399	-1.38670917135122	-1.07477728196287	-1.57950677660801	-1.52009621637241
mmu-miR-667-5p	-2.36142335505156	-2.31813464657107	-2.0912983804062804	-2.09434758597332	-2.1764052517421297	-2.42177822759285	-1.3249768164375801	-1.18721880878909	-1.90653486120799	-2.47809099099862	-2.02188265352631	-1.98633824438054
mmu-miR-667-3p	1.4227180732928202	2.02360078345866	1.50742673276642	-1.09248812349328	-1.26587881649324	-1.66262098339165	1.4991087535384	0.7122897709627	-0.695633323930497	-1.85204052525723	0.9567752883657071	-0.8642606396405891
mmu-miR-668-3p	-2.4699116740785603	-2.43923644607992	-2.27849581816078	-2.2806565450400798	-2.33880421668124	-2.51268032070765	-2.20601001200142	-1.6378472989110202	-2.14756876405865	-2.56104799826352	-2.2293064724057903	-2.20411900683116
mmu-miR-669a-3-3p	0.607929353133969	1.95814767854372	0.111981430736608	5.031167308941719	5.5314025513550495	4.58950460858579	4.9924294258793696	4.47811925574072	4.89296467531621	5.80696181626432	4.85794409768839	5.561147829646631
mmu-miR-669b-3p	2.0074621113039197	1.9919159472705399	2.0813162702372803	4.76646063852523	5.51225623894444	5.70362310049967	5.1437717854910705	5.235930319956321	5.744143620236111	5.42305564427582	5.0085700793597105	5.85909126824956
mmu-miR-669c-5p	2.0178556101825498	0.353808387427731	1.72102602062397	7.19338730782352	7.07956631420212	6.88238741144143	5.34404528080889	5.502157546797039	5.73888625389469	6.9250962719713	6.919424038547961	7.281180948548549
mmu-miR-669c-3p	-0.163768441317989	-1.0227536278268698	-0.509112404602865	2.01586542215516	2.9472281363204997	3.11467202155873	2.37755111005965	2.03155917670832	2.6620505443109	2.62222259229811	0.826731970238412	2.04879685915589
mmu-miR-669e-5p	-0.0837679979697206	-0.8786937293286659	-0.258598957564771	2.8956037405752997	3.6533316606278996	3.47334590970555	2.8666235947941	3.0978577385151804	4.53137683100092	4.50733417966108	3.49788347605035	3.4805950330827202
mmu-miR-669e-3p	-1.23829479656601	-1.15993419378205	0.4085976131370539	1.4445295148382398	1.49949629851607	1.92339432323569	1.33392778751685	1.03692359124547	-0.36398481591310905	1.7712854084421101	0.5896696127898	2.3653003125532996
mmu-miR-669f-5p	-0.9781876222433171	-0.856852989972119	1.88150517376046	3.2209607407167202	2.9066545933287204	4.3173830544265	2.2498870453778	3.10125358070783	3.78716985602215	3.8863443938151496	3.34598279560013	4.30961145136165
mmu-miR-669f-3p	3.03743055574286	3.3024937339506	3.1768310666849797	7.14929745049365	7.73932978389161	7.395405371498049	6.95322652562938	7.25500021935342	7.15922779600913	8.21445251724824	7.598844119658611	8.15940786074957
mmu-miR-669g	-2.1496183115737098	-2.10480693973649	-1.86999179680248	-1.8731482569804099	-1.9580922689856899	-2.19165463457958	-1.07671517212906	-1.62149857946478	-0.9913422943036291	-1.45231262915963	-1.7981343989323	-1.76133972912406
mmu-miR-669h-5p	-1.24146435692138	-1.15870272889276	-0.7326939230860101	1.48486366795676	0.8167013729391469	0.99727515583431	1.3746510513761	1.79019554807394	1.6229665850020099	1.46329387123433	1.7128793489445702	2.63479845226591
mmu-miR-669h-3p	-1.61184034453134	-1.54057609826146	-1.1105964761699398	1.77306361479177	0.520478390693643	-0.719964592929292	-0.8912661169484809	-0.595889712083098	-0.7144323258410391	1.30158034722587	2.57144669263895	1.5245036372183098
mmu-miR-669i	-1.66183246862193	-1.57463535199718	-1.08844150266458	2.6971462915617996	1.6848543045376798	-1.7849728392791298	-0.8521284141313141	-0.533881041713927	-0.6616023990279879	1.24689835405457	3.32222968700087	2.5676143325911402
mmu-miR-669k-3p	-1.57519720294286	-1.52860584270958	-1.18013949638687	1.1851491151868898	-0.287834288951275	-0.794242060036001	0.12553114336168597	-0.735586437589637	-0.8379718834801851	0.151492140602121	0.0517646050670712	1.19183937608232
mmu-miR-669l-5p	1.31633249195537	0.772197006159423	1.02776068166594	5.11469195806904	4.77798350612735	5.52849380274105	4.78975918174117	4.00109406430638	5.125937069173901	5.444537766826709	5.186358860964329	5.176363020467821
mmu-miR-669l-3p	-1.1446660249265401	-1.0349101481895	-0.47748782561031106	1.74005455110938	1.4559321645140202	2.66331016182089	2.1055829509377197	3.46191702532138	3.25897155396904	3.55233519455352	2.60856325089157	3.62208817580118
