	diapaused_ICM	mTor_ICM	diapaused_TE	mTor_TE	cluster
mmu-miR-215-5p	2.27500423173004	0.42317573743585707	2.01956424380828	-0.7837770933029442	4
mmu-miR-219a-1-3p	-0.12333463511616198	-0.19079952190660604	-0.0579187322954736	-0.0926906553774926	1
mmu-miR-21a-5p	1.18924793910791	2.46720586850956	0.34924498595741993	-0.00788364297662769	4
mmu-miR-22-5p	-0.419497279600648	1.4145868738652598	0.19080432261381797	-0.287803922624714	1
mmu-miR-22-3p	0.0705453482926049	1.1060602509605901	0.0746725392364619	1.3691438083662701	0
mmu-miR-221-3p	-0.32251656753421803	3.3989764827779196	-1.20468614964071	0.6373455295169239	8
mmu-miR-222-5p	-0.537799051263217	-0.13387603830397302	0.0473781517292842	0.0	1
mmu-miR-222-3p	-0.440479250902225	2.30495462723921	-0.389337127136203	-0.312679861950378	8
mmu-miR-223-3p	-0.188153125456121	0.31956336915920697	-0.0452153201066047	1.77544752353818	8
mmu-miR-224-5p	1.6020097741838797	0.277841547104549	0.0	0.0	5
mmu-miR-23a-5p	0.47046349498103707	0.25584690812043	0.7441996968263079	0.0	0
mmu-miR-23a-3p	1.31305623479825	2.9790068242222296	2.2066967318525896	2.34809694801055	2
mmu-miR-23b-3p	-0.245896931716886	0.19021288407591297	-0.0700442127110965	-0.0037019560709682397	1
mmu-miR-24-1-5p	-0.0819582211798219	0.231988800337871	0.0	0.3074643302732539	1
mmu-miR-24-2-5p	0.0447926690956804	0.303006486870924	0.6973272510727769	-0.584086078130595	1
mmu-miR-25-5p	-1.29024652287179	0.308624424586041	0.737321514004896	0.5665167311875191	0
mmu-miR-25-3p	0.0230460549204358	0.7652842439272309	1.38695518472117	1.2278788337034199	0
mmu-miR-26b-5p	0.563257154946317	1.4569487415980402	0.7587104234178442	1.3883284048850602	0
mmu-miR-27a-5p	-0.211879800229875	0.0	0.0281965342024803	-0.0766576587407435	1
mmu-miR-27a-3p	-0.0290784220278319	2.43011422819018	1.65096763771737	0.9783489880702859	0
mmu-miR-27b-5p	0.243510201097245	0.0	0.22625743159527698	0.0	1
mmu-miR-27b-3p	1.18623593912577	2.90850496123386	0.25608025096895004	-0.271360445218031	4
mmu-miR-28a-5p	1.3516243614160202	0.9219805485739541	0.5907139388668211	0.0880035412079151	4
mmu-miR-28a-3p	1.63994293004913	-1.8089950783908	1.00938511969847	0.00572612930670699	3
mmu-miR-290a-5p	-0.567515717781958	-1.05770090878831	-0.571604177748585	-1.6143887472594398	3
mmu-miR-291a-5p	-0.511541441881063	-1.3591384648836202	-0.401101500217625	-0.7614833789186222	3
mmu-miR-291a-3p	-0.77160350385712	-1.09417557999627	0.34041077571250394	0.0448127715490665	1
mmu-miR-291b-5p	-0.39619479258386403	-1.3705399941955598	-0.5544718538264449	-1.06355501068889	3
mmu-miR-291b-3p	-0.015539093631298	-1.23859689040227	0.0454095109390406	-0.7335591394557671	3
mmu-miR-292a-5p	-0.600682815122451	-0.673877082337588	-0.0838164042348414	-0.48628242524146703	1
mmu-miR-292a-3p	-0.607380777893296	-0.21352029123525698	0.098101748761284	-0.0412851587071789	1
mmu-miR-293-5p	-0.8775106898199109	-0.793710082595865	-0.256718060334149	-0.35799006551959095	1
mmu-miR-293-3p	-0.353659407433886	-0.315966113457594	-0.0293590136944746	-0.233130812595572	1
mmu-miR-294-5p	-0.0745550986616138	3.9377554890283705e-05	-0.243524480029437	-0.696465056256334	1
mmu-miR-294-3p	-0.149165249322161	0.16801519777380802	0.30937037211709695	0.0719251127707772	1
mmu-miR-295-5p	0.23222038221494	0.56974441852063	-0.7032353794806511	-1.2897008846709	5
mmu-miR-295-3p	-0.14866228526257	0.30227766259207106	0.36208711982553793	0.25648756335213	1
mmu-miR-296-5p	-0.0717175907216782	0.24688149067818602	-0.7966895413040501	0.0834854033917735	1
mmu-miR-296-3p	-1.1866950173088702	-2.1178828098212503	-1.1412311107221	-1.6668593470779898	7
mmu-miR-297b-5p	0.237951504543184	-0.554650137777645	-1.2694255040148401	-0.8857634272614621	3
mmu-miR-297c-5p	-0.210409549511077	0.0	-0.275204253535309	-0.29307245401868204	1
mmu-miR-298-5p	0.324620937153216	-2.52387902266145	-0.7844806705658629	-1.8736357311581	3
