	diapaused_TE	mTor_TE	paused_TS
mmu-miR-501-3p	0.3088991385087766	-2.1470102401050366	1.4492794296658769
mmu-miR-503-3p	-0.878732552870978	-0.5216956817152949	-0.31330202549327757
mmu-miR-503-5p	-1.9538380406400992	-3.7689024788667957	-0.8579908791664876
mmu-miR-505-5p	-0.16120680830462952	-1.0449855575351024	0.37955314268451495
mmu-miR-5099	0.09500149135130408	-0.745032534676182	-0.6242505497882866
mmu-miR-5100	0.08256603550808078	0.15020315855089408	0.9753337835784178
mmu-miR-5121	-0.28777447691962454	0.5055362629146478	-1.0764425121825216
mmu-miR-5126	-6.897632950297932	-1.9159974980141754	-2.222687650131838
mmu-miR-5128	-0.10651225378521846	0.03622741235703211	-0.5536393830959379
mmu-miR-532-3p	-0.32819442409375194	-0.28926377585487695	1.3997905472911158
mmu-miR-532-5p	-0.3780613420002326	-1.6463785775547002	0.6677497151083333
mmu-miR-541-5p	-0.6990541187617861	0.15020315855089408	-0.6229538830766435
mmu-miR-542-3p	-0.038479100708538605	-3.316812141639091	0.6493580184372989
mmu-miR-542-5p	0.08256603550808078	0.15020315855089408	0.12072794038209707
mmu-miR-543-3p	0.08256603550808078	0.15020315855089408	-0.8191409566694865
mmu-miR-574-3p	0.08256603550808078	0.15020315855089408	1.1384070947020262
mmu-miR-574-5p	-1.8050591205552653	-0.932286788444732	0.621778582845805
mmu-miR-615-3p	0.2256049029117067	0.15020315855089408	2.560984945042069
mmu-miR-6236	-0.4886049786439049	0.07079619529750324	-2.1733182027002123
mmu-miR-6240	-2.1780235738325766	-1.5792059352915178	-1.8483685065380029
mmu-miR-6516-3p	0.08256603550808078	0.15020315855089408	-0.650819049776048
mmu-miR-652-3p	0.5453245994128955	0.6388530263373344	0.8955516479386092
mmu-miR-6538	0.12329822811712389	0.5165564665053781	-0.9899513561862882
mmu-miR-6539	0.30185197604487796	-0.04032345408421085	0.3900928712059059
mmu-miR-664-3p	0.5221858647621906	0.8001729909225669	-0.4221404440551201
mmu-miR-665-3p	0.08256603550808078	0.15020315855089408	-1.7969736134229244
mmu-miR-669a-3-3p	-1.4132654558589013	-0.23058589449144784	-0.2232390842342983
mmu-miR-669b-3p	0.4566768219295472	0.15020315855089408	0.10696937435276518
mmu-miR-669c-3p	-0.5670938448663202	-0.230313014196569	0.9421392756089889
mmu-miR-669c-5p	-0.47338636349914376	-0.9771931630299975	0.18125640008942884
mmu-miR-669e-3p	0.07051399138841159	0.15020315855089408	0.04304176180481804
mmu-miR-669f-3p	1.1374473102830736	-0.20390394117658697	-0.3945195537805892
mmu-miR-669f-5p	0.13404574729141117	0.15020315855089408	-0.08547944804801363
mmu-miR-669h-5p	0.7632463365084058	-0.08971178688394596	-0.9089913313820241
mmu-miR-669i	0.08256603550808078	0.15020315855089408	-0.745847468720745
mmu-miR-669l-5p	0.06858321385797746	0.4315330742697496	0.07124612183782982
