Gene names	E14_Pause1	E14_Pause2	E14_Pause3	E14_WT1	E14_WT2	E14_WT3
Paox	0.0	1.1847696977695659	0.6722984757715932	0.6186568414001005	0.7379275422363394	0.5601896593380044
Papd5	0.0	0.0	0.46982634412679153	0.0	0.42059875093986404	0.4719135056776999
Parp14	0.6250476050974073	0.0	0.39156745279441874	0.0	0.0	0.0
Parvb	0.9293393877252087	0.0	0.7443694547660574	0.0	0.6312817443876689	0.8197028267697511
Pcgf6	0.3678628973194668	0.7350204566451102	0.4978539470690832	0.0	0.3832803940523869	0.30146170572602077
Pdia5	0.0	0.0	0.0	1.0174845084575448	0.8700455738157713	1.3036361439961344
Pdk3	0.7435769737805771	0.6986604196911707	0.5587927504360355	1.4920783788310166	0.7938130092528656	0.5493476685189659
Pdxk	1.3369562033103852	1.673782499670054	1.6840221430196405	1.7894490035169988	1.643971827095705	1.5655049528871707
Pdzd11	0.0	1.7701266992213276	1.5020550542200652	0.0	0.0	0.0
Pecr	1.7224256628094332	2.3676587039725483	1.3362250701448397	2.23711271143862	2.4968926943792296	3.124244986711766
Peg10	1.0429764171671305	1.3159231885970701	0.9337681049518465	1.5555518338636745	1.761358928324817	1.5098453732785697
Pex1	0.3209022996923978	0.2617460736439224	0.3697277621900356	0.30978730530899345	0.32457149871871593	0.0
Pex3	0.0	0.0	0.0	0.0	0.0	0.0
Phf10	1.086655925003662	1.1950310149135541	1.0767574126033215	1.0415675766203316	0.856849115376943	0.899673834259483
Phf11	0.5908598212977882	0.42592714794773656	0.5376203837112308	0.0	0.38282005247893935	0.32900459048079245
Phkb	0.3836531419364289	0.36155470502837533	0.0	0.0	0.0	0.0
Phyhipl	0.9051999414091109	0.467038405701465	1.047850155456131	0.0	0.4387668983719253	0.3893452524764436
Pinx1	0.3347590449685074	0.45674409396858917	0.3585045878516721	0.8116228437447663	0.6219828446040295	0.6329427397922204
Pip4k2a	0.0	0.4357925300250759	0.3607492227193448	0.37648635069502595	0.0	0.0
Pip4k2c	0.0	0.0	0.0	0.0	0.0	0.0
Pkn1	0.7951955470924271	0.0	0.5981648593311595	0.0	0.0	0.0
Plin2	0.5312142961769445	0.0	0.965283991810116	0.0	0.0	0.0
Pmvk	1.4430643035008057	1.5717302362412564	0.8778038977781148	2.966538268296768	2.4193711734106707	3.1607876298622855
Pofut1	0.3359308627508422	0.0	0.33545158110260104	0.24823312677943393	0.22419555310040049	0.19868627687847307
Polb	0.4002929544455837	1.9280388016365315	0.0	0.0	0.6853565345486351	0.0
Polr1d	4.494214149699721	4.2262768905899435	5.291575036020323	5.280857477809412	6.419309794534211	5.636627204638802
Pomp	5.40413065768273	6.7058202454797415	7.6639114279214375	4.584826662200636	5.294541883410824	4.425887895626963
